date,capacity,turnover,high,low,close,change,transaction_volume,open
1532912400,22803730,5585710909,245.5,244.0,245.5,1.0,9953,244.5
1532998800,28202542,6912550610,246.0,242.0,246.0,0.5,9460,243.5
1533085200,29777161,7375488342,248.0,246.5,248.0,2.0,11667,247.0
1533171600,22775110,5611725541,249.5,243.5,244.5,-3.5,10343,249.0
1533258000,25165097,6205758662,248.0,245.0,247.0,2.5,9585,246.0
1533517200,22364568,5487396854,247.0,244.0,245.5,-1.5,9732,245.0
1533603600,24352418,5922738042,245.5,241.5,241.5,-4.0,9665,245.0
1533690000,24382432,6011480272,247.5,244.5,247.5,6.0,10247,245.0
1533776400,15128655,3740736404,248.0,246.0,247.0,-0.5,7127,247.0
1533862800,16125492,3961311040,247.0,244.5,245.0,-2.0,6558,246.5
1534122000,17881194,4302280285,243.0,239.0,240.5,-4.5,9875,241.5
1534208400,17488913,4262753253,245.0,242.5,243.5,3.0,7415,245.0
1534294800,19236321,4642117523,244.5,239.5,241.5,-2.0,8920,244.5
1534381200,19155966,4587260340,241.5,238.0,239.0,-2.5,9397,238.0
1534467600,19634474,4707354383,241.0,239.0,239.5,0.5,6680,239.5
1534726800,17014437,4068729103,240.0,238.0,239.5,0.0,6640,239.5
1534813200,13871127,3328215657,241.0,238.5,241.0,1.5,5474,239.0
1534899600,12679240,3063201922,242.5,240.5,242.0,1.0,5009,241.5
1534986000,17216240,4200671070,244.5,243.0,244.5,2.5,5660,243.0
1535072400,15446943,3772959070,246.0,243.0,243.5,-1.0,5099,245.5
1535331600,15579299,3825736755,246.5,244.5,245.0,1.5,7858,246.0
1535418000,40410531,10075613779,250.0,248.0,249.5,4.5,16881,248.5
1535504400,57633182,14784556456,259.0,253.5,259.0,9.5,25668,253.5
1535590800,52622808,13914404873,268.0,262.5,263.5,4.5,22862,264.5
1535677200,70000506,17920548387,259.0,254.0,256.0,-7.5,19019,257.5
1535936400,34510555,8901193266,260.0,256.5,257.0,1.0,11442,259.0
1536022800,41455615,10654493061,259.5,255.5,257.5,0.5,9069,258.5
1536109200,52706459,13833360422,264.5,259.0,264.0,6.5,16421,260.0
1536195600,39779488,10467251488,268.0,261.0,261.0,-3.0,11996,268.0
1536282000,44746728,11753033262,264.0,260.5,264.0,3.0,15015,263.0
1536541200,62851599,16669866076,266.5,262.5,264.5,0.5,15504,266.5
1536627600,44981276,11709484991,263.5,258.0,260.0,-4.5,14768,263.0
1536714000,38415965,9987682900,262.0,258.0,260.5,0.5,12104,261.0
1536800400,37959180,9721989110,260.0,253.5,255.0,-5.5,14987,260.0
1536886800,40034219,10379404959,261.5,257.0,261.0,6.0,15690,257.0
1537146000,25041358,6483537091,262.5,257.0,258.0,-3.0,10710,262.5
1537232400,34381152,8771502830,257.0,254.0,254.5,-3.5,11097,256.5
1537318800,69978711,18074954749,260.0,257.0,258.0,3.5,14056,258.0
1537405200,35577071,9225009310,261.5,257.5,260.0,2.0,9444,261.5
1537491600,36500974,9510363894,261.5,258.0,261.5,1.5,10159,261.5
1537837200,24978062,6552894296,264.0,260.5,263.5,2.0,10082,261.5
1537923600,25061115,6577367245,263.5,261.0,263.5,0.0,7007,263.0
1538010000,38495371,10185827315,266.0,262.0,265.0,1.5,11536,264.0
1538096400,39645486,10412455506,266.0,260.0,262.5,-2.5,13060,266.0
1538355600,22409380,5882532290,264.0,261.0,263.0,0.5,11914,262.0
1538442000,38391491,9926505357,263.0,257.0,257.5,-5.5,17095,262.0
1538528400,25228536,6527393860,260.0,257.0,260.0,2.5,9992,257.5
1538614800,38009727,9690178362,257.5,254.0,254.0,-6.0,15094,257.0
1538701200,40396660,10101451270,253.0,248.5,250.0,-4.0,16031,250.0
1538960400,51083958,12426290240,246.5,241.0,243.5,-6.5,20745,245.5
1539046800,28933345,7051600725,245.0,242.0,244.0,0.5,11743,243.5
1539219600,96033657,22115862239,233.5,227.0,227.5,-16.5,37543,233.5
1539306000,54439769,12650322522,237.0,229.0,237.0,9.5,17980,231.0
1539565200,46471280,10766953220,234.0,230.5,230.5,-6.5,16558,234.0
1539651600,39129077,9155829047,237.0,229.0,237.0,6.5,15182,229.5
1539738000,42887858,10318955161,243.0,238.0,238.5,1.5,17550,241.5
1539824400,27793430,6587887632,239.0,235.5,236.5,-2.0,10599,238.0
1539910800,29648460,6927405460,236.5,230.0,236.0,-0.5,12378,231.0
1540170000,29275777,6872467149,238.0,231.5,237.0,1.0,10384,232.5
1540256400,36757745,8538586595,234.0,230.0,230.0,-7.0,13071,232.0
1540342800,45480950,10426514872,231.0,227.0,229.5,-0.5,17339,230.0
1540429200,75524118,16643542368,222.0,219.5,219.5,-10.0,27514,220.5
1540515600,54073644,11941421696,224.0,217.0,221.0,1.5,17106,223.0
1540774800,18463792,4107663616,224.0,221.0,222.5,1.5,7679,223.0
1540861200,29085931,6487213284,225.0,220.5,223.0,0.5,8574,221.0
1540947600,59933201,13844478353,234.0,228.0,234.0,11.0,19183,228.0
1541034000,44514797,10480329245,237.0,233.0,235.5,1.5,11435,236.0
1541120400,30785361,7249667833,236.5,233.5,236.5,1.0,11223,236.5
1541379600,28157065,6592130635,235.5,232.0,235.0,-1.5,6994,233.0
1541466000,35501176,8311988968,235.5,232.5,234.5,-0.5,7013,234.0
1541552400,39842652,9337023278,236.0,232.5,234.0,-0.5,7387,233.0
1541638800,28086146,6645771069,237.5,236.0,236.5,2.5,9461,237.5
1541725200,23792081,5526997792,234.5,231.0,231.0,-5.5,7886,234.5
1541984400,26202445,6101377163,234.5,230.0,231.5,0.5,6252,230.0
1542070800,37565127,8504691960,228.0,224.5,227.5,-4.0,11507,224.5
1542157200,24565279,5639284241,231.0,228.5,228.5,1.0,6007,230.0
1542243600,22230228,5124189444,232.0,228.5,231.0,2.5,5996,229.5
1542330000,47138909,10696822542,229.0,225.0,226.0,-5.0,16009,229.0
1542589200,51034754,11355347628,225.0,221.0,222.0,-4.0,16289,225.0
1542675600,45686756,9995960780,220.5,218.0,218.0,-4.0,16874,219.0
1542762000,38478343,8361178460,220.0,214.0,219.0,1.0,13580,214.5
1542848400,22060610,4867686945,222.0,219.0,219.0,0.0,9095,221.5
